Unnamed: 0,website,hop,ip,country,lat,lgn
0,nabobil.no,2,195.0.224.1,NO,59.2442,10.3966
1,nabobil.no,3,195.0.242.137,NO,59.95,10.75
2,nabobil.no,4,195.0.240.151,NO,59.95,10.75
3,nabobil.no,11,109.74.207.13,GB,51.5161,-0.0949
4,nabobil.no,12,139.162.225.97,GB,51.5161,-0.0949
5,forskningsradet.no,2,195.0.224.1,NO,59.2442,10.3966
6,forskningsradet.no,3,195.0.242.133,NO,59.95,10.75
7,forskningsradet.no,4,195.0.244.48,NO,59.95,10.75
8,forskningsradet.no,5,185.1.55.27,NO,59.905,10.7487
9,forskningsradet.no,6,62.148.62.114,NO,59.9572,10.6079
10,forskningsradet.no,7,62.148.62.147,NO,59.9572,10.6079
11,forskningsradet.no,8,195.254.213.37,NO,59.95,10.75
12,naturvernforbundet.no,2,195.0.224.1,NO,59.2442,10.3966
13,naturvernforbundet.no,3,195.0.242.133,NO,59.95,10.75
14,naturvernforbundet.no,4,195.0.244.48,NO,59.95,10.75
15,naturvernforbundet.no,5,185.1.55.16,NO,59.905,10.7487
16,naturvernforbundet.no,6,85.19.121.202,NO,59.95,10.75
17,naturvernforbundet.no,7,85.19.25.74,NO,59.95,10.75
18,naturvernforbundet.no,8,80.239.119.63,NO,58.6655,5.6379
19,korrekturavdelingen.no,2,195.0.224.1,NO,59.2442,10.3966
20,korrekturavdelingen.no,3,195.0.242.133,NO,59.95,10.75
21,korrekturavdelingen.no,4,193.75.1.94,NO,59.95,10.75
22,korrekturavdelingen.no,5,193.90.207.222,NO,59.905,10.7487
23,korrekturavdelingen.no,6,5.249.226.6,NO,59.95,10.75
24,kommunal-rapport.no,2,195.0.224.1,NO,59.2442,10.3966
25,kommunal-rapport.no,3,195.0.242.133,NO,59.95,10.75
26,kommunal-rapport.no,4,195.0.244.48,NO,59.95,10.75
27,kommunal-rapport.no,5,62.140.27.85,RO,44.4333,26.1
28,kommunal-rapport.no,6,54.36.50.32,FR,48.8582,2.3387
29,kommunal-rapport.no,7,91.121.215.196,FR,48.8582,2.3387
30,kommunal-rapport.no,8,37.187.232.55,FR,48.8582,2.3387
31,kommunal-rapport.no,9,51.255.182.216,FR,48.8582,2.3387
32,kommunal-rapport.no,10,92.222.54.6,FR,48.8628,2.3292
33,kommunal-rapport.no,11,54.36.89.113,NL,52.3824,4.8995
34,lofotr.no,2,195.0.224.1,NO,59.2442,10.3966
35,lofotr.no,3,195.0.242.137,NO,59.95,10.75
36,lofotr.no,4,195.0.240.151,NO,59.95,10.75
37,lofotr.no,5,62.140.27.81,RO,44.4333,26.1
38,lofotr.no,6,213.19.196.54,GB,51.4964,-0.1224
39,lofotr.no,7,198.20.100.242,NL,52.3824,4.8995
40,lofotr.no,8,37.60.238.227,US,41.8814,-87.64299999999999
41,expedia.no,2,195.0.224.1,NO,59.2442,10.3966
42,expedia.no,3,195.0.242.133,NO,59.95,10.75
43,expedia.no,4,195.0.244.48,NO,59.95,10.75
44,expedia.no,5,62.140.27.85,RO,44.4333,26.1
45,expedia.no,6,4.16.146.90,US,47.6116,-122.3056
46,morodalsfestivalen.no,2,195.0.224.1,NO,59.2442,10.3966
47,morodalsfestivalen.no,3,195.0.242.137,NO,59.95,10.75
48,morodalsfestivalen.no,4,195.0.240.151,NO,59.95,10.75
49,morodalsfestivalen.no,5,62.140.27.81,RO,44.4333,26.1
50,morodalsfestivalen.no,6,4.69.158.241,US,37.751,-97.822
51,morodalsfestivalen.no,7,130.244.200.128,SE,59.3247,18.055999999999997
52,morodalsfestivalen.no,8,130.244.64.70,SE,59.3247,18.055999999999997
53,morodalsfestivalen.no,9,130.244.39.28,SE,59.3247,18.055999999999997
54,morodalsfestivalen.no,10,130.244.71.179,SE,59.3247,18.055999999999997
55,morodalsfestivalen.no,11,130.244.12.250,SE,59.3247,18.055999999999997
56,morodalsfestivalen.no,12,93.188.2.51,SE,59.3247,18.055999999999997
57,rockefeller.no,2,195.0.224.1,NO,59.2442,10.3966
58,rockefeller.no,3,195.0.242.133,NO,59.95,10.75
59,rockefeller.no,4,195.0.242.187,NO,59.95,10.75
60,rockefeller.no,5,195.0.242.93,NO,59.95,10.75
61,rockefeller.no,6,195.159.28.252,NO,59.905,10.7487
62,moo.no,2,195.0.224.1,NO,59.2442,10.3966
